#{"t_start": 1735016675.688494, "env_id": "Walker2d-v5"}
r,l,t
1081.120791,361,847.286989
1070.413975,404,848.903026
1262.717433,411,850.555775
867.703653,302,851.78195
1283.030823,450,853.588441
1068.563633,405,855.21734
1207.735907,386,856.758924
671.632785,258,857.788695
860.328217,311,859.03207
954.468456,318,860.310765
1201.924844,415,861.990457
916.042943,349,863.390493
941.825417,330,864.719591
1192.583228,383,866.257553
1063.886361,342,867.627981
811.641227,280,868.750045
916.953929,314,870.014799
1418.286828,497,872.015677
1013.103798,341,873.39847
1019.601211,372,874.894438
1629.52536,519,876.971978
878.788816,304,878.186343
1064.260184,364,879.65035
1040.110022,366,881.117621
935.287401,313,882.390674
878.536615,300,883.595493
1124.278699,393,885.18022
1177.750371,418,886.86412
1208.100975,421,888.549628
1297.948264,407,890.18003
1075.949509,367,891.649727
1367.368512,416,893.334474
1569.10573,525,895.445486
978.161212,324,896.751627
1521.729907,542,898.943028
936.837355,334,900.288579
1101.992607,353,901.70197
1439.532234,539,903.931077
748.041681,276,905.07865
905.42622,317,906.388699
2122.207446,676,909.144328
1761.890833,644,911.756698
1611.278431,565,914.068981
878.731782,301,915.294932
1326.306862,413,916.965956
1185.283952,383,918.529745
1020.283875,351,920.069272
1953.206557,668,923.662677
1023.369778,356,925.484932
1260.488436,443,927.370962
1471.464679,496,929.684327
832.860117,291,931.083538
985.157437,339,932.508383
1400.11264,438,934.437408
1375.295874,448,936.39322
684.568374,235,937.40909
1032.040743,341,938.940665
1113.638645,376,940.854076
1285.947451,414,942.604534
1410.733135,459,944.553243
1174.249657,377,946.109049
1248.627246,420,947.945305
1612.120143,567,950.342558
1842.560073,566,952.626922
997.738249,352,954.066331
1104.754153,376,955.589622
1416.982239,434,957.390121
1208.500631,386,959.018778
1151.60659,394,960.643261
2155.575033,723,963.60742
1191.845438,414,965.319147
1437.096111,476,967.244314
937.021858,364,968.71043
1614.01302,559,970.965263
1359.921111,584,973.345738
1016.863518,332,974.708992
1086.458887,356,976.148674
1379.607386,434,977.916991
1568.270761,492,979.90759
1392.913657,482,982.246409
1808.02236,607,984.909468
1431.119888,524,987.03978
756.823779,284,988.166321
1513.050565,499,990.144455
1405.760472,447,991.968927
1057.28378,401,993.578171
2384.117417,699,996.404957
71.231145,116,996.8693
1832.938968,568,999.157531
760.467828,292,1000.347626
1115.636192,373,1001.868497
1179.895089,453,1003.713168
1181.180058,377,1005.268844
1490.740937,460,1007.136735
733.062942,261,1008.194984
1684.765043,543,1010.395846
1954.39078,566,1012.681265
1291.311728,413,1014.355073
1431.999508,453,1016.22176
1620.62801,582,1018.571748
590.551472,207,1019.405498
834.219791,321,1020.707054
1041.03976,381,1022.263781
1453.915979,439,1024.05535
1468.338868,482,1026.040023
1456.12338,489,1028.006633
1202.295337,379,1029.527343
861.111715,309,1030.774114
1464.736704,489,1032.756924
1410.305483,481,1034.702121
1452.388537,496,1036.735777
1542.323246,466,1038.633489
1079.435111,352,1040.064261
1709.868958,506,1042.139025
1139.638177,400,1043.76601
1508.148105,512,1045.852848
1116.145132,365,1047.319694
1261.776782,483,1049.259948
1240.416715,396,1050.865106
1363.353149,487,1052.837667
1425.920187,441,1054.627292
1792.721497,546,1056.872612
2050.74139,597,1059.298127
969.141405,347,1060.702472
798.915496,298,1061.907254
971.547103,325,1063.216732
1370.439543,423,1064.930588
1398.431276,430,1066.696398
995.884656,331,1068.037509
1242.812512,417,1069.718589
1253.122845,823,1073.05036
2007.009695,622,1075.571841
1740.502824,542,1077.789635
1521.370869,470,1079.717094
959.022968,334,1081.077719
1017.000379,383,1082.62359
1434.651073,456,1084.459921
2027.414625,582,1086.831491
744.229809,246,1087.830398
1529.829224,498,1089.953252
1413.496507,454,1091.823983
2136.956922,698,1094.698005
1014.723673,348,1096.146222
1449.841863,463,1098.00864
811.970104,280,1099.12966
1456.041909,458,1100.969304
1389.952314,428,1102.695592
1511.583634,461,1104.559957
1066.734431,369,1106.06037
1696.939393,539,1108.271237
713.956535,251,1109.309663
1745.273577,562,1111.609881
1020.828214,355,1113.051114
1176.578348,357,1114.52469
1331.803435,447,1116.359556
1085.496391,355,1117.801527
701.595554,269,1118.886904
945.15633,393,1120.471627
1646.431671,498,1122.48719
1549.553196,491,1124.472321
821.559674,290,1125.644591
1726.811883,500,1127.699016
1474.718448,452,1129.530225
1143.669984,392,1131.121698
1327.210607,420,1132.820443
2146.372119,666,1135.517528
875.253388,315,1136.835906
1089.53725,365,1138.316609
1830.498731,570,1140.630185
1168.312401,385,1142.193965
1745.44573,580,1144.544046
1811.243817,546,1146.755695
1908.664873,587,1149.156228
1481.874257,480,1151.100938
1685.306984,510,1153.179406
1684.006038,508,1155.231474
1510.777806,471,1157.16645
2223.98745,637,1159.762923
1142.36036,388,1161.337818
